"","thumbName","daoName","platform","totalValueUSD","totalInUSD","totalOutUSD","totalNumMembers","totalNumProposals","totalNumVoters","votersParticipation"
"","https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/uniswap.png","Uniswap","6","5007793729.805594","9046224188.919739","4038430464.648385","256882","6","1077","0.4192586479395209"
"","https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/compound.png","Compound","6","1646454791.9939406","2738400210.9061584","1091945242.2057807","174326","56","980","0.5621651388777348"
"","https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/fei.png","Fei","6","667596330.9896865","1466072997.8672771","798476666.8775924","12388","11","582","4.6980949305779784"
"","https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/radicle.png","Radicle","6","473977140.47090036","521385246.25646734","47408105.785566956","5641","4","60","1.0636411983690834"
"","https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/rarible.png","Rarible","12","369459189.62694657","403933751.7772234","34474562.150276884","24818","116","2067","8.32863244419373"
"","badgerdao.jpg","Badger DAO","4","190517363.9553581","200672931.35586247","10155567.400504373","29341","38","4","0.01363280051804642"
"","https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/balancer.png","Balancer","12","150375047.34715074","157008853.67592776","6633806.32877703","35046","48","5841","16.666666666666668"
"","api3.jpg","API3 DAOv1","4","144645178.81478888","493579667.7245865","348935079.2161214","31","64","9","29.032258064516128"
"","barnbridgelaunch.jpg","BarnBridge Governance","-1","89838409.5585848","106274625.19126278","16436215.632677985","0","0","0",""
"","https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/pool_toogether.jpeg","PoolTogether","6","71041566.49437706","92141213.41986749","21099646.92549041","8082","20","346","4.281118535016085"
"","dxDAO.png","DXdao","1","70696788.569164","100250367.73255055","28508182.46267003","463","653","123","26.565874730021598"
"","ptokens.jpg","pNetwork","4","62550124.560093015","120224355.245302","57674230.685208976","1463","0","0","0"
"","aavegotchi.jpg","Aavegotchi","4","61787954.93080404","354101512.12649304","292313557.1956888","16251","23","600","3.6920804873546245"
"","https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/gitcoin.png","Gitcoin","6","56667902.30300492","56667902.30300492","0","19443","0","0","0"
"","aragon.png","Aragon Network Budget","4","52515226.983892374","180353291.89703032","135867782.76211143","5","273","5","100"
"","https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/yearn.png","yearn.finance","12","43791070.93297974","471632621.87918127","428543150.01048744","659","16","3258","100"
"","https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/unslashed.jpeg","Unslashed","6","39954997.33992542","45568638.43689837","5613974.518273411","1414","0","0","0"
